Index,Product Name,Stock,Price,Old Price
1,"Laptop ultraportabil Huawei MateBook D14 2020 cu procesor AMD Ryzen 5 3500U pana la 3.70 GHz 14"" Full HD IPS 8GB 512GB SSD Radeon Vega 8 Windows 10 Home Mystic Silver",stoc epuizat,3.199 lei ,no sale :(
2,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel Celeron N4120 Quad Core pana la 2.60 GHz 14"" Full HD 8GB 256GB SSD Intel UHD Graphics 600 No OS Silver",în stoc,1.599 lei ,2.599 lei 
3,"Laptop ultraportabil Acer Swift 3 SF314-57-516Z cu procesor Intel Core i5-1035G1 pana la 3.60 GHz Ice Lake 14"" Full HD 8GB 512GB SSD Intel UHD Graphics Windows 10 Home Steel Gray",în stoc,3.949 lei ,4.699 lei 
4,Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel Celeron N4120 pana la 2.60 GHz Quad Core 14” Full HD 8GB 256GB SSD Inel UHD Graphics Windows 10 Home SIlver,în stoc,2.199 lei ,3.199 lei 
5,"Laptop Apple MacBook Pro 16"" Touch Bar procesor Intel Core i9 2.30 GHz 16GB 1TB SSD Radeon Pro 5500M 4GB Space Grey INT KB",în stoc,13.799 lei ,15.79 lei 
6,"Laptop ultraportabil ASUS VivoBook 14 K413 cu procesor Intel Core i5-1135G7 pana la 4.70 GHz 14"" Full HD 8GB 512GB SSD Intel Iris X Graphics Free DOS Indie Black",în stoc,2.999 lei ,3.499 lei 
7,"Laptop ultraportabi Acer Swift 1 SF114-33 cu procesor Intel Celeron Quad Core Processor N4120 pana la 2.60 GHz 14"" Full HD 4GB 256GB SSDWindows 10 Home Silver",în stoc,2.049 lei ,2.999 lei 
8,"Laptop ultraportabil Asus ExpertBook P2 P2451FA-EB1544 cu procesor Intel Core i3-10110U pana la 4.10 GHz 14"" Full HD 8Gb 256 SSD Intel UHD Graphics Free DOS Black",în stoc,2.399 lei ,2.898 lei 
9,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 7 nuclee GPU 8GB 256GB Silver INT KB,în stoc,5.599 lei ,no sale :(
10,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 7 nuclee GPU 8GB 256GB Gold INT KB,în stoc,5.599 lei ,no sale :(
11,"Laptop ultraportabil Huawei MateBook 14 cu procesor AMD Ryzen 5 4600H pana la 4.00 GHz 14"" 2K 16GB 512GB SSD AMD Radeon Graphics Windows 10 Home Gray",în stoc,4.299 lei ,4.999 lei 
12,"Laptop ultraportabil Asus ExpertBook P2 P2451FA-EB1538 cu procesor Intel Core i3-10110U pana la 4.10 GHz 14"" Full HD 4Gb 256 SSD Intel UHD Graphics Free Dos Black",în stoc,2.299 lei ,2.799 lei 
13,"Laptop Ultraportabil Lenovo IdeaPad 5 14ARE05 cu procesor AMD Ryzen 7 4700U 14"" Full HD 8GB 512GB SSD AMD Radeon Graphics FreeDOS Graphite Grey",în stoc,3.099 lei ,3.599 lei 
14,"Laptop ultraportabil Huawei MateBook X Pro 2020 cu procesor Intel Core i7-10510U pana la 4.90 GHz 13.9"" 3K Touch 16GB 1TB SSD NVIDIA GeForce MX250 2GB Windows 10 Pro Emerald Green",în stoc,7.499 lei ,9.199 lei 
15,"Laptop ultraportabil ASUS ZenBook 14 UM425IA cu procesor AMD Ryzen 5 4500U pana la 4.00 GHz 14"" Full HD 8GB 512GB SSD AMD Radeon Graphics Windows 10 Home Pine Grey",în stoc,3.999 lei ,4.999 lei 
16,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel Pentium Silver N5030 pana la 3.10 GHz 14"" Full HD 8GB 256GB SSD Intel UHD Graphics 605 Windows 10 Home Silver",în stoc,2.349 lei ,3.399 lei 
17,"Laptop ultraportabil ASUS Zenbook S UX393EA cu procesor Intel Core i7-1165G7 pana la 4.70 GHz 13.9"" Full HD 16GB 1TB SSD Intel Iris Xe Graphics Windows 10 Pro Jade Black",în stoc,7.899 lei ,9.999 lei 
18,"Laptop ultraportabil Acer Swift SF314-42 cu procesor AMD Ryzen 5 4500U pana la 4.00 GHz 14"" Full HD 16GB 1TB SSD AMD Radeon Graphics No OS Silver",în stoc,3.499 lei ,4.599 lei 
19,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel Pentium Silver N5030 pana la 3.10 GHz 14"" Full HD 8GB 256GB SSD Intel UHD Graphics 605 No OS Silver",în stoc,1.899 lei ,2.799 lei 
20,"Laptop ultraportabil Huawei MateBook 14 cu procesor AMD Ryzen 5 4600H pana la 4.00 GHz 14"" 2K 8GB 256GB SSD AMD Radeon Graphics Windows 10 Home Gray",în stoc,3.799 lei ,4.499 lei 
21,"Laptop Ultraportabil Lenovo IdeaPad 5 14ARE05 cu procesor AMD Ryzen 5 4500U 14"" Full HD 8GB 512GB SSD AMD Radeon Graphics FreeDOS Graphite Grey",în stoc,2.899 lei ,3.399 lei 
22,Laptop Apple MacBook Air 13 (2020) ecran Retina procesor Intel Core i3 1.1GHz 8GB 256GB SSD Intel Iris Plus Graphics Gold INT KB,ultimul produs in stoc,5.450 lei ,5.899 lei 
23,"Laptop ultraportabil HP 14s-dq2008nq cu procesor Intel Core i5-1135G7 pana la 4.20 GHz 14"" Full HD 8GB 256GB SSD Intel Iris XE Graphics Windows 10 Home Natural Silver",în stoc,3.399 lei ,3.699 lei 
24,"Laptop ultraportabil ASUS ExpertBook B9450FA cu procesor Intel Core i7-10510U pana la 4.90 GHz 14"" Full HD 16GB 512GB SSD Intel UHD Graphics Windows 10 Home Star Black",în stoc,5.699 lei ,6.699 lei 
25,"Laptop ultraportabil Prestigio SmartBook 133 C4 cu procesor AMD A4-9120e pana la 2.20 GHz 14.1"" HD 4GB 64GB eMMC AMD Radeon R3 Windows 10 Pro Dark Grey",în stoc,1.299 lei ,1.999 lei 
26,"Laptop Lenovo IdeaPad 3 17IML05 cu procesor Intel Core i3-10110U pana la 4.10 GHz 17.3"" HD+ 8GB1 TB HDD Intel UHD Graphics Windows 10 Home Platinum Grey",ultimele 3 produse,2.625 lei ,3.999 lei 
27,"Laptop ultraportabil Huawei MateBook X Pro cu procesor Intel Core i5-8265U pana la 3.90 GHz Whiskey Lake 13.9"" 3K Touch 8GB 512GB SSD NVIDIA GeForce MX250 2GB Windows 10 Home Grey",în stoc,5.499 lei ,6.299 lei 
28,"Laptop ultraportabil Huawei MateBook D14 2020 cu procesor AMD Ryzen 7 3700U pana la 4.00 GHz 14"" Full HD 8GB 512GB SSD AMD Radeon Graphics Windows Home Silver",în stoc,3.599 lei ,no sale :(
29,"Laptop ultraportabil Acer Swift SF313-53 cu procesor Intel Core i7-1165G7 pana la 4.70 GHz 13.5"" QHD 16GB 1TB SSD Intel UHD Graphics Windows 10 Home Sparkly Silver",în stoc,5.199 lei ,6.199 lei 
30,"Laptop ultraportabil Acer Swift 3 SF313-52 cu procesor Intel Core i7-1065G7 pana la 3.90 GHz 13.5"" Full HD 8GB 512GB SSD Intel Iris Plus Graphics No OS Silver",în stoc,4.299 lei ,4.899 lei 
31,"Laptop ASUS M509DA-EJ345 AMD Ryzen 3 3250U pana la 3.5GHz 15.6"" Full HD 4GB SSD 256GB Intel HD Graphics 520 Free DOS gri",în stoc,1.689 lei ,2.399 lei 
32,"Laptop Apple MacBook Pro 16"" Touch Bar procesor Intel Core i7 2.60 GHz 16GB 512GB SSD Radeon Pro 5300M 4GB Silver INT KB",în stoc,11.799 lei ,13.49 lei 
33,"Laptop ultraportabil HP Pavilion 14-ce3002nq cu procesor Intel Core i3-1005G1 pana la 3.40 GHz Ice Lake 14"" Full HD 8GB 256GB SSD Intel UHD Graphics Free DOS Mineral Silver",în stoc,2.499 lei ,3.199 lei 
34,"Laptop ultraportabil Acer Swift SF314-42 cu procesor AMD Ryzen 7 4700U pana la 4.10 GHz 14"" Full HD 8GB 256GB SSD AMD Radeon Graphics No OS Silver",în stoc,3.299 lei ,3.899 lei 
35,"Laptop ultraportabil Huawei MateBook X Pro 2020 cu procesor Intel Core i5-10210U pana la 4.20 GHz 13.9"" 3K Touch 16GB 512B SSD NVIDIA GeForce MX250 2GB Windows 10 Pro Space Gray",în stoc,6.199 lei ,7.599 lei 
36,"Laptop ultraportabil Insys cu procesor Intel Core i3-5005U 2.00 GHz 14.1"" Full HD 8GB 256GB SSD Intel HD Graphics 5500 Windows 10 Pro Grey",în stoc,2.299 lei ,2.899 lei 
37,Laptop Apple MacBook Pro 13-inchTrue Tone procesor Apple M1 8 nuclee CPU si 8 nuclee GPU 16GB 2TB SSD Space Grey INT KB,în stoc,13.999 lei ,no sale :(
38,"Laptop Lenovo IdeaPad 3 14IIL05 cu procesor Intel Core i7-1065G7 pana la 3.90 GHz 14"" Full HD 8GB 512GB SSD Intel Iris Plus Graphics Free DOS Abyss Blue",în stoc,3.299 lei ,3.799 lei 
39,"Laptop ultraportabil Lenovo ThinkPad T490s cu procesor Intel Core i7-8565U pana la 4.60 GHz Whiskey Lake 14"" Full HD IPS 16GB 1TB SSD Intel UHD Graphics 620 Windows 10 Pro Black",în stoc,8.199 lei ,11.19 lei 
40,"Laptop ultraportabil Prestigio Prestigio SmartBook 141 C5 cu procesor Intel Celeron N3350 pana la 2.40 GHz 14.1"" HD+ 4GB 64GB eMMCslot pentru HDD/SSD 2.5"" Windows 10 Pro Metal grey",în stoc,1.299 lei ,1.499 lei 
41,"Laptop ultraportabil HP Pavilion 14-ce3014nq cu procesor Intel Core i7-1065G7 pana la 3.90 GHz 14"" Full HD 8GB 256GB SSD NVIDIA GeForce MX250 4GB Free DOS Mineral Silver",în stoc,3.999 lei ,4.599 lei 
42,"Laptop Ultraportabil Lenovo IdeaPad 5 14ARE05 cu procesor AMD Ryzen 7 4700U 14"" Full HD 8GB 256GB SSD AMD Radeon Graphics FreeDOS Graphite Grey",în stoc,2.899 lei ,3.399 lei 
43,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel Pentium Silver N5030 pana la 3.10 14"" Full HD 8GB 256GB SSD Intel UHD Graphics Windows 10 Home Gold",stoc epuizat,2.349 lei ,3.299 lei 
44,"Laptop ultraportabil ASUS ZenBook S UX393EA cu procesor Intel Core i7-1165G7 pana la 4.70 GHz 13.9"" Full HD 8GB 512GB SSD Intel Iris Xe Graphics Windows 10 Home Jade Black",în stoc,6.799 lei ,8.999 lei 
45,"Laptop ultraportabil Lenovo IdeaPad 5 14IIL05 cu procesor Intel Core i5-1035G1 14"" Full HD 16GB 1TB SSD NVIDIA GeForce MX350 2GB FreeDOS Graphite Grey",în stoc,4.199 lei ,4.999 lei 
46,"Laptop ultraportabil Lenovo IdeaPad 5 15ARE05 cu procesor AMD Ryzen 5 4600U pana la 4.00 GHz 15.6"" Full HD 8GB 512GB SSD AMD Radeon Graphics Free DOS Platinum Grey",în stoc,2.799 lei ,3.199 lei 
47,"Laptop ultraportabil Lenovo ThinkBook 13s-IML cu procesor Intel Core i5-10210U pana la 4.20 GHz 13.3"" Full HD 16GB 512GB SSD Intel UHD Graphics Free DOS Mineral Grey",în stoc,3.999 lei ,4.499 lei 
48,"Laptop ultraportabil ASUS ExpertBook B9450FA cu procesor Intel Core i5-10210U pana la 4.20 GHz 14"" Full HD 16GB 512GB SSD Intel UHD Graphics Windows 10 Home Star Black",în stoc,5.299 lei ,6.099 lei 
49,"Laptop ultraportabil Lenovo ThinkPad E14 cu procesor Intel Core i5-10210U pana la 4.20 GHz 14"" Full HD 16GB 512GB SSD Intel UHD Graphics Windows 10 Pro Black",ultimele 3 produse,4.799 lei ,5.599 lei 
50,"Laptop ultraportabil Dell Inspiron 5402 cu procesor Intel Core i3-1115G4 pana la 4.10 GHz 4GB DDR4 3200MHz 14"" Full HD 256GB SSD Intel UHD Graphics Windows 10 Home S Silver",în stoc,3.199 lei ,4.299 lei 
51,"Laptop ultraportabil IdeaPad 5 15IIL05 cu procesor Intel Core i5-1035G1 pana la 3.60 GHz 15.6"" Full HD 16GB 512GB SSD Intel UHD Graphics Free DOS Platinum Grey",în stoc,3.199 lei ,3.599 lei 
52,"Laptop ultraportabil HP ProBook 440 G8 cu procesor Intel Core i5-1135G7 pana la 4.20 GHz 14"" Full HD 8GB 512GB SSD Intel Iris X Graphics Windows 10 Pro Silver",ultimul produs in stoc,4.499 lei ,5.399 lei 
53,Laptop Apple MacBook Air 13 (2020) ecran Retina procesor Intel Core i5 1.1GHz 8GB 512GB SSD Intel Iris Plus Graphics Silver INT KB,ultimele 2 produse,6.299 lei ,9.374 lei 
54,"Laptop ultraportabil HP Pavilion 14-ce3001nq cu procesor Intel Core i3-1005G1 pana la 3.40 GHz Ice Lake 14"" HD 4GB 256GB SSD Intel UHD Graphics Windows 10 Home Mineral Silver",în stoc,2.799 lei ,3.499 lei 
55,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 8 nuclee GPU 8GB 512GB Gold INT KB,în stoc,6.399 lei ,6.899 lei 
56,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 8 nuclee GPU 8GB 512GB Gold ROM KB,ultimele 2 produse,6.499 lei ,6.899 lei 
57,"Laptop ultraportabil HP EliteBook 840 G7 cu procesor Intel Core i7-10510U pana la 4.90 GHz 14""Full HD 8GB 256GB SSD Intel UHD Graphics Windows 10 Pro Silver",ultimele 2 produse,6.199 lei ,7.499 lei 
58,Laptop Apple MacBook Air 13 (2020) ecran Retina procesor Intel Core i3 1.1GHz 8GB 256GB SSD Intel Iris Plus Graphics Space Grey INT KB,ultimele 3 produse,5.249 lei ,6.099 lei 
59,"Laptop ultraportabil Lenovo IdeaPad 3 14IIL05 cu procesor Intel Core i3-1005G1 pana la 3.40 GHz 14"" Full HD 4GB 128GB SSD Intel UHD Graphics Windows 10 Home S Iron Grey",în stoc,2.199 lei ,2.899 lei 
60,"Laptop ultraportabil DELL Inspiron 5402 cu procesor Intel Core i3-1115G4 pana la 4.10 GHz 14"" Full HD 4GB 256GB SSD Intel UHD Graphics Windows 10 Pro Platinum Silver",ultimele 3 produse,3.449 lei ,3.999 lei 
